"","Forest","PlotID","Species","IV_tree","IV_ssap","IV_all"
"1","Beaver Creek",17,"american elm",107.632232953777,130.144927536232,237.777160490009
"2","Beaver Creek",17,"sugar maple",52.0549823947248,122.028985507246,174.083967901971
"3","Beaver Creek",17,"white ash",146.979451318165,45.7556935817805,192.735144899946
"4","Beaver Creek",18,"american elm",130.44807636532,73.1843280462855,203.632404411606
"5","Beaver Creek",18,"sugar maple",61.1122701145039,170.792763857418,231.905033971922
"6","Beaver Creek",18,"white ash",115.106320186843,41.7456790666637,156.851999253506
"7","Degrasse",10,"red maple",69.7229834592019,0,69.7229834592019
"8","Degrasse",10,"red pine",219.044768854264,0,219.044768854264
"9","Degrasse",10,"white pine",71.232247686534,233.333333333333,304.565581019867
"10","Degrasse",11,"red pine",236.76928481563,192.380952380952,429.150237196582
"11","Degrasse",11,"white pine",63.2307151843704,0,63.2307151843704
"12","Degrasse",12,"red pine",218.549661204667,0,218.549661204667
"13","Degrasse",12,"spruce",15.403098619522,0,15.403098619522
"14","Degrasse",12,"white pine",72.7139068424777,233.333333333333,306.047240175811
"15","Donnerville",1,"american beech",45.0424336620744,97.1428571428571,142.185290804932
"16","Donnerville",1,"big toothed aspen",44.4491190986075,0,44.4491190986075
"17","Donnerville",1,"catscratch",31.1692154735451,0,31.1692154735451
"18","Donnerville",1,"red maple",87.3572014025242,0,87.3572014025242
"19","Donnerville",1,"sugar maple",158.648697029915,0,158.648697029915
"20","Donnerville",2,"american beech",78.1259305292176,101.538461538462,179.664392067679
"21","Donnerville",2,"american elm",37.2631766937116,0,37.2631766937116
"22","Donnerville",2,"black cherry",51.5033615310274,158.461538461538,209.964899992566
"23","Donnerville",2,"hornbeam",11.0347750659097,0,11.0347750659097
"24","Donnerville",2,"red maple",84.4591667297732,0,84.4591667297732
"25","Donnerville",2,"sugar maple",67.3953354681644,0,67.3953354681644
"26","Donnerville",2,"Unknown1",60.2626127254173,0,60.2626127254173
"27","Donnerville",2,"white ash",49.9556412567789,0,49.9556412567789
"28","Donnerville",3,"american beech",64.7546658182847,127.557603686636,192.312269504921
"29","Donnerville",3,"catscratch",35.3516302939479,0,35.3516302939479
"30","Donnerville",3,"red maple",87.1457977285011,0,87.1457977285011
"31","Donnerville",3,"sugar maple",93.4985736240381,141.597542242704,235.096115866742
"32","Donnerville",3,"yellow birch",92.5826658685615,0,92.5826658685615
