"","Forest","meanTDensity","sdTDensity","meanTDom","sdTDom","mean_ss_dens_per_hect","sdSSDensity","meanSSDom","sdSSDom"
"1","Beaver Creek",737.5,13.6930639376292,191816.222650232,1591.94049277888,32333.3333333333,16027.7537068951,72518.4304203644,25916.8171392571
"2","Degrasse",346.875,20.863074009907,352926.45325443,77760.9848159814,1888.88888888889,2411.39271269008,3577.92496658838,3273.3648957911
"3","Donnerville",665.277777777778,170.453307581166,260941.274855791,94372.7729916742,3000,1154.70053837925,4450.58959258554,3269.87330557523
"4","South Hammond",551.25,77.1511674025672,214605.924807995,40379.0472325935,7000,7371.11479583199,32724.9234748937,20090.4379407937
"5","Whipoorwill",815,12.9099444873581,489700.172742978,152477.937516401,37166.6666666667,45019.1317355435,35473.8170467848,35357.9433828437
"6","Whiskey Flats",615,77.4596669241483,276722.181978165,137692.578458578,9333.33333333333,5185.44972870135,48171.0873550435,44058.5891367371
